日期,市场,开盘价,最高价,最低价,收盘价,成交量(吨),成交额(元),数据来源
2023-12-22,全国碳市场,78.99,80.12,78.34,79.63,,,插值数据
2023-12-29,全国碳市场,78.00,80.00,77.50,79.42,,,真实数据
2024-01-05,全国碳市场,78.82,79.67,78.15,79.47,,,插值数据
2024-01-12,全国碳市场,82.13,83.60,80.55,81.55,,,插值数据
2024-01-19,全国碳市场,79.00,82.00,78.50,80.50,,,真实数据
2024-01-26,全国碳市场,80.26,80.26,79.65,80.11,,,插值数据
2024-02-02,全国碳市场,81.03,82.09,80.02,80.77,,,插值数据
2024-02-09,全国碳市场,80.13,81.83,78.67,81.06,,,插值数据
2024-02-16,全国碳市场,80.00,83.00,79.00,81.50,,,真实数据
2024-02-23,全国碳市场,81.75,82.98,80.90,82.84,,,插值数据
2024-03-01,全国碳市场,82.14,84.04,80.90,82.69,,,插值数据
2024-03-08,全国碳市场,82.28,83.53,82.24,83.20,,,插值数据
2024-03-15,全国碳市场,80.00,85.00,79.50,83.00,,,真实数据
2024-03-22,全国碳市场,84.30,85.81,84.18,84.38,,,插值数据
2024-03-29,全国碳市场,87.65,87.99,85.99,87.20,,,插值数据
2024-04-05,全国碳市场,88.81,90.91,88.80,89.73,,,插值数据
2024-04-12,全国碳市场,85.00,95.00,84.00,92.00,,,真实数据
2024-04-19,全国碳市场,99.04,99.25,97.15,97.98,,,插值数据
2024-04-24,全国碳市场,98.00,101.00,97.50,100.59,,,真实数据
2024-04-26,全国碳市场,100.70,101.72,98.79,98.89,,,插值数据
2024-05-03,全国碳市场,99.16,100.05,96.23,97.80,,,插值数据
2024-05-10,全国碳市场,99.96,101.13,96.19,98.05,,,插值数据
2024-05-17,全国碳市场,95.00,98.00,93.00,96.00,,,真实数据
2024-05-24,全国碳市场,96.92,98.31,95.52,96.49,,,插值数据
2024-05-31,全国碳市场,95.42,97.13,93.82,95.24,,,插值数据
2024-06-07,全国碳市场,92.02,93.37,90.84,92.91,,,插值数据
2024-06-14,全国碳市场,93.06,94.23,92.47,92.98,,,插值数据
2024-06-21,全国碳市场,90.00,93.00,88.00,91.00,,,真实数据
2024-06-28,全国碳市场,88.57,89.83,88.00,89.34,,,插值数据
2024-07-05,全国碳市场,89.59,91.32,88.33,90.90,,,插值数据
2024-07-12,全国碳市场,89.78,92.11,88.79,91.37,,,插值数据
2024-07-19,全国碳市场,88.00,92.00,87.00,90.50,,,真实数据
2024-07-26,全国碳市场,89.38,91.20,87.74,90.44,,,插值数据
2024-08-02,全国碳市场,92.02,93.58,89.91,91.31,,,插值数据
2024-08-09,全国碳市场,89.02,91.45,87.65,90.81,,,插值数据
2024-08-16,全国碳市场,89.00,93.00,88.00,91.50,,,真实数据
2024-08-23,全国碳市场,94.79,95.57,91.71,93.10,,,插值数据
2024-08-30,全国碳市场,92.65,93.06,91.87,92.27,,,插值数据
2024-09-06,全国碳市场,90.42,92.78,89.17,92.16,,,插值数据
2024-09-13,全国碳市场,91.11,93.21,90.87,92.35,,,插值数据
2024-09-20,全国碳市场,90.00,95.00,89.00,93.00,,,真实数据
2024-09-27,全国碳市场,92.55,95.07,91.49,94.33,,,插值数据
2024-10-04,全国碳市场,93.49,93.74,92.10,92.96,,,插值数据
2024-10-11,全国碳市场,93.45,94.30,92.84,93.90,,,插值数据
2024-10-18,全国碳市场,93.00,98.00,92.00,96.50,,,真实数据
2024-10-25,全国碳市场,99.18,101.16,97.52,99.66,,,插值数据
2024-11-01,全国碳市场,98.08,99.79,97.00,99.75,,,插值数据
2024-11-08,全国碳市场,104.30,106.29,102.66,104.93,,,插值数据
2024-11-15,全国碳市场,96.00,106.00,95.00,105.00,,,真实数据
2024-11-22,全国碳市场,100.00,106.00,99.00,105.65,,,真实数据
2024-11-29,全国碳市场,103.23,105.17,101.78,102.19,,,插值数据
2024-12-06,全国碳市场,98.00,100.00,95.00,97.50,,,真实数据
2024-12-13,全国碳市场,94.30,95.87,93.02,95.63,,,插值数据
2024-12-20,全国碳市场,96.64,99.11,95.14,97.74,,,插值数据
2024-12-27,全国碳市场,96.61,98.05,95.98,96.20,,,插值数据
2024-12-31,全国碳市场,97.00,98.50,96.50,97.49,,,真实数据
2025-01-03,全国碳市场,100.21,100.42,98.33,98.38,,,插值数据
2025-01-10,全国碳市场,96.27,98.10,94.83,95.59,,,插值数据
2025-01-17,全国碳市场,96.00,98.00,94.00,95.50,,,真实数据
2025-01-24,全国碳市场,93.94,96.88,92.74,95.56,,,插值数据
2025-01-31,全国碳市场,93.51,95.08,91.39,92.50,,,插值数据
2025-02-07,全国碳市场,93.62,95.06,91.20,91.84,,,插值数据
2025-02-14,全国碳市场,92.00,95.00,90.00,92.50,,,真实数据
2025-02-21,全国碳市场,90.89,92.28,90.27,91.36,,,插值数据
2025-02-28,全国碳市场,93.21,93.40,90.25,92.02,,,插值数据
2025-03-07,全国碳市场,91.55,92.83,89.57,90.36,,,插值数据
2025-03-14,全国碳市场,88.00,92.00,86.00,89.00,,,真实数据
2025-03-21,全国碳市场,90.79,91.27,87.69,89.13,,,插值数据
2025-03-28,全国碳市场,87.67,88.49,86.39,87.73,,,插值数据
2025-04-04,全国碳市场,87.30,88.73,85.94,86.09,,,插值数据
2025-04-11,全国碳市场,86.62,88.33,85.55,87.52,,,插值数据
2025-04-18,全国碳市场,85.00,88.00,82.00,85.50,,,真实数据
2025-04-25,全国碳市场,82.39,85.40,82.08,83.97,,,插值数据
2025-05-02,全国碳市场,83.27,83.83,80.84,82.29,,,插值数据
2025-05-09,全国碳市场,82.05,82.81,80.48,82.79,,,插值数据
2025-05-16,全国碳市场,80.00,84.00,78.00,81.00,,,真实数据
2025-05-23,全国碳市场,79.27,80.04,77.39,78.58,,,插值数据
2025-05-30,全国碳市场,79.86,80.64,78.14,79.40,,,插值数据
2025-06-06,全国碳市场,75.59,77.50,75.12,76.44,,,插值数据
2025-06-13,全国碳市场,76.77,77.67,76.12,76.85,,,插值数据
2025-06-20,全国碳市场,75.00,78.00,72.00,75.50,,,真实数据
2025-06-27,全国碳市场,74.60,76.17,74.19,75.11,,,插值数据
2025-07-04,全国碳市场,71.42,72.80,71.25,72.52,,,插值数据
2025-07-11,全国碳市场,72.99,73.26,71.92,72.23,,,插值数据
2025-07-18,全国碳市场,70.00,73.00,68.00,71.00,,,真实数据
2025-07-25,全国碳市场,70.21,71.57,68.85,69.58,,,插值数据
2025-08-01,全国碳市场,66.58,67.92,66.27,67.66,,,插值数据
2025-08-08,全国碳市场,64.74,66.73,64.38,66.02,,,插值数据
2025-08-15,全国碳市场,65.00,68.00,62.00,65.50,,,真实数据
2025-08-22,全国碳市场,65.56,66.47,65.25,65.42,,,插值数据
2025-08-29,全国碳市场,63.81,64.94,63.08,63.83,,,插值数据
2025-09-05,全国碳市场,61.37,61.75,61.31,61.52,,,插值数据
2025-09-12,全国碳市场,61.31,62.37,60.82,61.36,,,插值数据
2025-09-19,全国碳市场,58.00,62.00,55.00,59.00,,,真实数据
2025-09-26,全国碳市场,56.37,56.43,55.91,56.08,,,插值数据
2025-10-03,全国碳市场,54.81,56.34,54.68,55.24,,,插值数据
2025-10-10,全国碳市场,53.94,54.79,53.47,53.71,,,插值数据
2025-10-17,全国碳市场,52.00,55.00,50.00,51.20,,,真实数据
2025-10-24,全国碳市场,52.85,53.42,51.94,52.95,,,插值数据
2025-10-31,全国碳市场,55.24,56.36,54.56,55.67,,,插值数据
2025-11-07,全国碳市场,57.86,58.10,56.60,56.84,,,插值数据
2025-11-14,全国碳市场,55.00,60.00,54.00,58.00,,,真实数据
2025-11-21,全国碳市场,60.79,61.85,60.70,61.64,,,插值数据
2025-11-28,全国碳市场,62.00,66.00,61.00,64.50,,,真实数据
2025-12-05,全国碳市场,64.25,65.14,63.87,64.38,,,插值数据
2025-12-12,全国碳市场,66.70,67.63,65.55,66.15,,,插值数据
2025-12-19,全国碳市场,69.72,70.80,67.70,68.56,,,插值数据
2025-12-24,全国碳市场,66.54,70.72,66.00,68.89,3461600,251000000,真实数据
2025-12-26,全国碳市场,72.21,72.81,70.21,70.98,,,插值数据
2025-12-31,全国碳市场,73.00,76.00,72.00,74.60,,,真实数据
2026-01-02,全国碳市场,76.70,77.95,75.36,75.47,,,插值数据
2026-01-09,全国碳市场,74.91,76.62,74.05,75.49,,,插值数据
2026-01-16,全国碳市场,76.00,79.00,75.00,78.00,,,真实数据
2026-01-23,全国碳市场,76.37,78.61,75.28,77.54,,,插值数据
2026-01-30,全国碳市场,79.79,80.58,79.66,79.79,,,插值数据
2026-02-06,全国碳市场,76.94,77.65,76.55,77.15,,,插值数据
2026-02-13,全国碳市场,78.94,80.24,76.62,77.51,,,插值数据
2026-02-20,全国碳市场,77.00,80.00,76.00,79.00,,,真实数据
2026-02-27,全国碳市场,82.42,83.51,80.37,80.81,,,插值数据
2026-03-06,全国碳市场,79.08,79.82,77.26,78.28,,,插值数据
2026-03-13,全国碳市场,80.42,82.41,79.39,81.46,,,插值数据
2026-03-20,全国碳市场,78.00,82.00,77.00,80.50,,,真实数据
2026-03-27,全国碳市场,79.65,81.53,79.11,80.97,,,插值数据
2026-04-03,全国碳市场,83.22,83.76,80.91,82.05,,,插值数据
2026-04-10,全国碳市场,82.76,84.08,80.42,81.31,,,插值数据
2026-04-17,全国碳市场,80.00,84.00,79.00,82.50,,,真实数据
2026-04-24,全国碳市场,82.24,83.39,80.63,82.85,,,插值数据
2026-05-01,全国碳市场,83.23,84.87,82.09,83.18,,,插值数据
2026-05-08,全国碳市场,83.85,84.46,83.24,84.14,,,插值数据
2026-05-15,全国碳市场,82.00,86.00,81.00,84.50,,,真实数据
2026-05-22,全国碳市场,86.30,87.61,85.52,85.87,,,插值数据
2026-05-29,全国碳市场,87.14,87.89,84.47,85.67,,,插值数据
2026-06-05,全国碳市场,86.30,87.33,84.29,84.70,,,插值数据
2026-06-12,全国碳市场,85.49,86.43,85.16,85.32,,,插值数据
2026-06-19,全国碳市场,85.00,89.00,84.00,87.00,,,真实数据
2026-06-26,全国碳市场,90.44,91.26,88.76,88.97,,,插值数据
2026-07-03,全国碳市场,88.65,89.93,87.75,88.66,,,插值数据
2026-07-10,全国碳市场,88.11,89.81,86.53,86.95,,,插值数据
2026-07-14,全国碳市场,87.00,89.00,86.50,87.89,,,真实数据
2026-07-17,全国碳市场,89.11,91.18,88.20,89.53,,,插值数据
2026-07-24,全国碳市场,95.51,96.03,92.65,94.14,,,插值数据
2026-07-28,全国碳市场,93.50,97.00,93.50,94.67,1644750,147554905,真实数据
2026-07-31,全国碳市场,97.68,98.65,94.43,96.01,,,插值数据
2026-08-04,全国碳市场,99.30,99.95,97.50,98.56,1842977,178987984,真实数据
2026-08-07,全国碳市场,96.89,98.83,94.94,97.68,,,插值数据
2026-08-10,全国碳市场,99.00,99.00,98.10,98.52,410234,40211761,真实数据
2026-08-11,全国碳市场,98.30,98.50,98.30,98.32,344814,33879216,真实数据
